Season Number,Startup Name,Episode Number,Industry,Company Website,Started in,Number of Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Gross Margin in %,Net Margin,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Offered Equity,Received Offer,deal outcome,equity given (%),Total Deal Debt(in lakhs),Debt Interest,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,original ask amount in Cr.,valuation requested in Cr.,Total deal amount in Cr.,Deal valuation in Cr.,Deal status,Yearly revenue in Cr.,Monthy sales in Cr.,Revenue Type,Male Presenters,Female Presenters,Transgender Presenters
1,Heartupmysleeves,1,Beauty/Fashion,https://heartupmysleeves.com/,2021,1,0,Young,Delhi,Delhi,,,No,,No,funded,No,10,1,Accepted,30,0,0,2,No,No,0,0.25,2.5,0.25,0.83,deal made,,0.02,Monthly Only,0,1,0
1,Revampmoto,5,Vehicles/Electrical Vehicles,https://www.revampmoto.in/,2021,3,0,Young,Nashik,Maharashtra,,,No,,No,funded,No,1,1,Accepted,1.5,0,0,2,No,No,0,1,100,1,66.67,deal made,,0.0001,Monthly Only,3,0,0
1,Skippiicepops,6,Food,https://skippi.in/,2021,2,1,Middle,Hyderabad,Telangana,,,No,,yes,funded,No,5,1,Accepted,15,0,0,5,No,No,0,0.45,9,1,6.67,deal made,,0.075,Monthly Only,1,1,0
1,Kavach,7,Education,https://antibullyingsquad.com/,2018,2,0,Young,Gurgaon,Haryana,,,No,,No,funded,No,10,1,Accepted,10,0,0,2,No,No,0,0.05,0.5,0.05,0.5,deal made,,,No Data,1,1,0
1,Altor,9,Manufacturing,https://www.altorsmarthelmet.com/,2019,4,0,Young,Kolkata,West Bengal,,,No,,No,funded,No,5,1,Accepted,7,0,0,2,No,No,0,0.5,10,0.5,7.14,deal made,,,No Data,4,0,0
1,Sweedesi,12,Food,https://www.sweedesi.com/,2018,2,1,Middle,Pune,Maharashtra,,,No,,No,funded,No,3,0,No Offer,0,0,0,0,No,No,0,0.4,13.33,0,0,no deal,,,No Data,1,1,0
1,Loka,12,Technology/Software,https://www.lokaworld.app/,2020,1,0,Young,Delhi,Delhi,,,No,,No,funded,No,5,1,Accepted,24,0,0,3,No,No,0,0.4,8,0.4,1.67,deal made,,,No Data,1,0,0
1,Carragreen,13,Manufacturing,https://carragreen.com/,2018,2,0,Middle,Indore,Madhya Pradesh,,,No,,yes,funded,No,10,1,Accepted,20,0,0,2,No,No,0,0.5,5,0.5,2.5,deal made,,,No Data,0,2,0
1,Morrikopurefoods,14,Food,https://morrikopurefoods.com/,2018,3,0,Middle,Valsad,Gujarat,,,No,,No,funded,No,3,1,Rejected,0,0,0,0,No,No,0,1,33.33,0,0,no deal,,0.16,Monthly Only,2,1,0
1,Flyingfur,16,Animal/Pets,https://flyingfur.in/,2016,3,0,Middle,Delhi,Delhi,,,No,,No,funded,No,7,0,No Offer,0,0,0,0,No,No,0,0.75,10.71,0,0,no deal,,,No Data,2,1,0
1,Beyondwater,16,Food,https://drinkbeyond.co.in/,2020,2,0,Young,Kolkata,West Bengal,,,No,,No,funded,No,4,1,Accepted,15,0,0,2,No,No,0,0.75,18.75,0.75,5,deal made,,0.1,Monthly Only,1,1,0
1,Findyourkicksindia,17,Beauty/Fashion,https://findyourkicksindia.co/,2021,3,0,Young,Ludhiana,Punjab,,,No,,No,funded,No,10,1,Accepted,25,0,0,5,No,No,0,0.5,5,0.5,2,deal made,,0.035,Monthly Only,3,0,0
1,Magiclock,19,Hardware,http://www.magiclockdc.com/,2019,3,0,Middle,Mumbai,Maharashtra,,,No,,yes,funded,No,8,0,No Offer,0,0,0,0,No,No,0,1.2,15,0,0,no deal,,0.0004,Monthly Only,3,0,0
1,Inacan,20,Food,https://inacan.in/,2020,3,0,Middle,Pune,Maharashtra,,,No,,No,funded,No,2,1,Accepted,10,0,0,5,No,No,0,0.5,25,1,10,deal made,,0.23,Monthly Only,3,0,0
1,Thequirkynaari,21,Beauty/Fashion,https://thequirkynaari.com/,2018,1,0,Young,Mathura,Uttar Pradesh,,,No,,No,funded,No,5,1,Accepted,24,0,0,2,No,No,0,0.35,7,0.35,1.46,deal made,,0.03,Monthly Only,0,1,0
1,Nuskhakitchen,24,Food,https://nuskhakitchen.com/,2019,2,0,Middle,Jaipur,Rajasthan,,,No,,No,funded,No,10,0,No Offer,0,0,0,0,No,No,0,0.2,2,0,0,no deal,,0.0145,Monthly Only,1,1,0
1,Isakfragrances,26,Beauty/Fashion,https://isakfragrances.com/,2016,1,0,Young,Lucknow,Uttar Pradesh,,,No,,No,funded,No,8,1,Accepted,50,0,0,1,yes,No,0,0.5,6.25,0.5,1,deal made,,0.035,Monthly Only,0,1,0
1,Watttechnovations,27,Medical/Health,https://www.watttechnovations.com/,2020,1,0,Young,Pune,Maharashtra,,,No,,No,funded,No,2,1,Accepted,4,0,0,4,No,No,0,0.0000101,0,0.0000101,0,deal made,,,No Data,1,0,0
1,Sippline,30,Manufacturing,https://www.sippline.com/,2019,1,0,Middle,Pune,Maharashtra,,,No,,No,funded,No,15,0,No Offer,0,0,0,0,No,No,0,0.75,5,0,0,no deal,,,No Data,1,0,0
1,Ayurythm,31,Medical/Health,https://www.ayurythm.com/home/,2016,3,0,Middle,Bangalore,Karnataka,,,No,,No,funded,No,2,1,Accepted,2.68,0,0,1,No,No,0,0.75,37.5,0.75,27.99,deal made,,,No Data,3,0,0
1,C3Med-Tech,32,Medical/Health,https://c3prototypes.com/,2019,2,1,Middle,Ahmedabad,Gujarat,,,No,,No,funded,No,6,1,Rejected,0,0,0,0,No,No,0,0.35,5.83,0,0,no deal,,,No Data,1,1,0
1,Colourmemad-Cmm,33,Beauty/Fashion,https://yourfootdoctor.in/,2017,2,1,Middle,Mumbai,Maharashtra,,,No,,No,funded,No,10,1,Accepted,25,0,0,1,No,No,0,0.4,4,0.4,1.6,deal made,,0.0066,Monthly Only,1,1,0
1,Mavi'S,33,Food,https://mavispantry.com/,2018,2,1,Middle,Thane,Maharashtra,,,No,,No,funded,No,5,0,No Offer,0,0,0,0,No,No,0,0.4,8,0,0,no deal,,0.02,Monthly Only,1,1,0
1,Tweeklabs,33,Sports,https://www.tweek-labs.com/,2019,4,0,Middle,Delhi,Delhi,,,No,,No,funded,No,2,1,Accepted,10,0,0,3,No,No,0,0.4,20,0.6,6,deal made,,,No Data,4,0,0
1,Proxgy,33,Technology/Software,https://www.proxgy.com/,2020,2,0,Middle,Delhi,Delhi,,,No,,No,funded,No,1,1,Accepted,10,0,0,2,No,No,0,0.35,35,1,10,deal made,,,No Data,2,0,0
1,Tweeinone,34,Beauty/Fashion,https://tweeinone.com/,2017,1,0,Young,Mumbai,Maharashtra,,,No,,No,funded,No,7.5,0,No Offer,0,0,0,0,No,No,0,0.3,4,0,0,no deal,,,No Data,0,1,0
1,Jainshikanji,35,Food,https://jainshikanjimasala.com/,2017,1,0,Middle,Modinagar,Uttar Pradesh,,,No,,No,funded,No,8,1,Accepted,30,0,0,4,No,No,0,0.4,5,0.4,1.33,deal made,,0.02,Monthly Only,1,0,0
1,Sneakare,36,Beauty/Fashion,https://sneakare.com/,2020,1,0,Young,Delhi,Delhi,,,No,,No,funded,No,5,1,Accepted,12,0,0,3,No,No,0,0.2,4,0.21,1.75,deal made,,0.07,Monthly Only,1,0,0
1,Witblox,0,Manufacturing,https://witblox.com/,2020,2,0,Middle,Mumbai,Maharashtra,,,No,,No,funded,No,3,1,Accepted,10,0,0,2,No,No,0,0.6,20,0.6,6,deal made,,,No Data,1,1,0
1,Clensta,0,Beauty/Fashion,https://clensta.com/,2017,1,0,Middle,Delhi,Delhi,,,No,,No,funded,No,1,0,No Offer,0,0,0,0,No,No,0,1,100,0,0,no deal,,1.5,Monthly Only,1,0,0
1,Infinitiinsects,0,Animal/Pets,https://infiniti-insects.business.site/,2016,2,,Middle,Bangalore,Karnataka,,,No,,No,funded,No,10,0,No Offer,0,0,0,0,No,No,0,0.25,2.5,0,0,no deal,,0.005,Monthly Only,1,1,0
1,Ashwapro,0,Services,https://ashwa.pro/,2020,1,0,Middle,Jaipur,Rajasthan,,,No,,No,funded,No,10,0,No Offer,0,0,0,0,No,No,0,0.5,5,0,0,no deal,,,No Data,1,0,0
1,Stanleeindia,0,Electronics,https://www.stanleeindia.com/,2019,3,0,Middle,Delhi,Delhi,,,No,,No,funded,No,3,0,No Offer,0,0,0,0,No,No,0,0.6,20,0,0,no deal,,,No Data,3,0,0
1,Spacekidzindia,0,Manufacturing,https://www.spacekidzindia.in/,2016,2,0,Middle,Chennai,Tamil Nadu,,,No,,No,funded,No,2,0,No Offer,0,0,0,0,No,No,0,1,50,0,0,no deal,,,No Data,1,1,0
1,Urbannaps,0,Services,https://urbannaps.com/,2018,2,0,Young,Ahmedabad,Gujarat,,,No,,No,funded,No,4,1,Rejected,0,0,0,0,No,No,0,0.5,12.5,0,0,no deal,,,No Data,2,0,0
1,Zyppelectric,0,Vehicles/Electrical Vehicles,https://zypp.app/,2017,2,1,Young,Gurgaon,Haryana,,,Yes,,No,funded,No,1,0,No Offer,0,0,0,0,No,No,0,2.2,220,0,0,no deal,,,No Data,1,1,0
1,Picsniff,0,Technology/Software,https://algomage.com/algoshare,2021,1,0,Young,Mumbai,Maharashtra,,,No,,No,funded,No,1,1,Rejected,0,0,0,0,No,No,0,0.55,55,0,0,no deal,,,No Data,1,0,0
1,Deciwood,0,Electronics,https://deciwood.com/,2019,2,0,Young,Delhi,Delhi,,,No,,No,funded,No,3.5,0,No Offer,0,0,0,0,No,No,0,0.5,14.29,0,0,no deal,,,No Data,2,0,0
1,Happybar,0,Food,https://www.fitsport.me/,2019,3,0,Middle,Hyderabad,Telangana,,,Yes,,No,funded,No,2,0,No Offer,0,0,0,0,No,No,0,0.6,30,0,0,no deal,,0.29,Monthly Only,2,1,0
1,Tathastulive,0,Services,https://www.temple.biz/,2020,3,1,Middle,Ahmedabad,Gujarat,,,No,,No,funded,No,10,0,No Offer,0,0,0,0,No,No,0,0.5,5,0,0,no deal,,,No Data,2,1,0
1,Mywealthprotector,0,Services,https://mywealthprotector.com/,2019,2,0,Middle,Mumbai,Maharashtra,,,No,,No,funded,No,2.5,0,No Offer,0,0,0,0,No,No,0,0.5,20,0,0,no deal,,0.02,Monthly Only,2,0,0
1,Theiris,0,Manufacturing,https://www.theiris.co.in/,2019,2,,Young,Bangalore,Karnataka,,,No,,No,funded,No,15,0,No Offer,0,0,0,0,No,No,0,0.1,0.67,0,0,no deal,,,No Data,1,1,0
1,Oyedelhioye,0,Food,,2021,2,0,Middle,Delhi,Delhi,,,No,,No,funded,No,10,0,No Offer,0,0,0,0,No,No,0,0.35,3.5,0,0,no deal,,,No Data,2,0,0
1,Inaliassistivetech,0,Medical/Health,https://inalifoundation.com/,2020,2,0,Young,Pune,Maharashtra,,,No,,No,funded,No,5,0,No Offer,0,0,0,0,No,No,0,0.5,10,0,0,no deal,,,No Data,2,0,0
1,Meera'Scelebrations,0,Services,https://www.facebook.com/meeracelebrations/,2010,2,1,Middle,Ludhiana,Punjab,,,No,,No,funded,No,25,0,No Offer,0,0,0,0,No,No,0,0.5,2,0,0,no deal,,,No Data,1,1,0
1,Artment,0,Furnishing/Household,https://theartment.com/,2019,2,0,Young,Gurgaon,Haryana,,,No,,No,funded,No,2.5,1,Rejected,0,0,0,0,No,No,0,1.7,68,0,0,no deal,,1,Monthly Only,1,1,0
1,Powertree,0,Manufacturing,https://powertree.co.in/,2018,2,0,Middle,Gandhinagar,Gujarat,,,No,,No,funded,No,2.5,0,No Offer,0,0,0,0,No,No,0,1.5,60,0,0,no deal,,,No Data,2,0,0
2,Hoovu,1,Services,https://hoovufresh.com/,,2,0,Young,Bangalore,Karnataka,,,No,,No,funded,No,1,1,Accepted,2,0,0,2,No,No,0,0.8,80,1,50,deal made,,0.65,Monthly Only,0,2,0
2,Dorji,1,Food,https://dorjeteas.com/,,2,0,Young,Darjeeling,West Bengal,,,No,,No,funded,No,5,1,Accepted,15,0,0,3,No,No,0,0.3,6,0.3,2,deal made,,0.11,Monthly Only,2,0,0
2,Recode,1,Beauty/Fashion,https://shop.recodestudios.com/,,2,0,Middle,Ludhiana,Punjab,,,No,,No,funded,No,1,0,No Offer,0,0,0,0,No,No,0,1,100,0,0,no deal,,,No Data,2,0,0
2,Atmosphere,3,Food,https://atmospherestudio.in/,,2,0,Young,Delhi,Delhi,,,No,,No,funded,No,3,1,Rejected,0,0,0,0,No,No,0,0.75,25,0,0,no deal,,,No Data,0,2,0
2,Girgit,3,Beauty/Fashion,https://www.girgitstore.com/,,2,1,Young,Mumbai,Maharashtra,,,No,,No,funded,No,10,1,Accepted,20,0,0,1,No,No,0,0.2,2,0.2,1,deal made,,,No Data,1,1,0
2,Gearheadmotors,4,Vehicles/Electrical Vehicles,https://www.ghmev.com/,,2,0,Young,Hyderabad,Telangana,,,No,,No,funded,No,2,1,Accepted,6.67,0,0,2,No,No,0,0.75,37.5,1,14.99250375,deal made,,,No Data,2,0,0
2,Patilkaki,4,Food,https://patilkaki.com/,2020,3,0,Young,Mumbai,Maharashtra,,,No,,No,funded,No,2.5,1,Accepted,4,0,0,2,No,No,0,0.4,16,0.4,10,deal made,,,No Data,2,1,0
2,Winston,5,Beauty/Fashion,https://winstonindia.com/,,2,1,Middle,Faridabad,Haryana,,,No,,No,funded,No,4,1,Accepted,10,0,0,2,No,No,0,1,25,1,10,deal made,,0.46,Monthly Only,1,1,0
2,Flatheads,5,Beauty/Fashion,https://www.flatheads.in/,2019,1,0,Middle,Bangalore,Karnataka,,,Yes,,No,funded,No,3,1,Rejected,0,0,0,0,No,No,0,0.75,25,0,0,no deal,,,No Data,1,0,0
2,Organicsmokes,5,Beauty/Fashion,https://www.meaame.com/,,3,0,Middle,Delhi,Delhi,,,No,,No,funded,No,1,0,No Offer,0,0,0,0,No,No,0,1,100,0,0,no deal,,0.4,Monthly Only,3,0,0
2,Teafit,6,Liquor/Beverages,http://tea.fit/,,3,0,Young,Mumbai,Maharashtra,,,No,,No,funded,No,3,1,Accepted,8,0,0,4,No,No,0,0.5,16.66666667,0.5,6.25,deal made,,,No Data,2,1,0
2,Haqdarshak,6,Services,https://haqdarshak.com/,,2,0,Middle,Shimla,Himachal Pradesh,,,No,,No,funded,No,0.5,1,Accepted,2,0,0,3,No,No,0,1,200,1,50,deal made,,,No Data,1,1,0
2,Bhaskar'Spuranpolighar,6,Food,http://bhaskarspuranpolighar.in/,,3,0,Middle,Thane,Maharashtra,,,No,,No,funded,No,1,0,No Offer,0,0,0,0,No,No,0,0.75,75,0,0,no deal,,,No Data,3,0,0
2,Thesimplysalad,7,Food,https://simplysalad.com/,,2,0,Young,Ahmedabad,Gujarat,,,No,,No,funded,No,10,1,Accepted,10,0,0,2,No,No,0,0.3,3,0.3,3,deal made,,,No Data,1,1,0
2,Atypicaladvantage,8,Technology/Software,https://atypicaladvantage.in/,,1,0,Middle,Jamshedpur,Jharkhand,,,No,,No,funded,No,1,1,Accepted,3,0,0,2,No,No,0,0.3,30,0.3,10,deal made,,,No Data,1,0,0
2,Houseofchikankari,8,Beauty/Fashion,https://www.houseofchikankari.in/,2020,2,0,Middle,Delhi,Delhi,,,No,,No,funded,No,1,1,Accepted,3.75,0,0,2,No,No,0,0.75,75,0.75,20,deal made,,,No Data,0,2,0
2,Magicofmemories,8,Beauty/Fashion,https://www.themagicofmemories.com/,,1,0,Middle,Delhi,Delhi,,,No,,No,funded,No,5,0,No Offer,0,0,0,0,No,No,0,0.25,5,0,0,no deal,,,No Data,0,1,0
2,Nestroots,9,Furnishing/Household,https://www.nestroots.com/,,1,0,Middle,Delhi,Delhi,,,No,,No,funded,No,1,1,Accepted,2,0,0,1,No,No,0,0.5,50,0.5,25,deal made,,,No Data,0,1,0
2,Credmate,10,Technology/Software,https://credmate.in/,,2,0,Middle,Ludhiana,Punjab,,,No,,No,funded,No,5,0,No Offer,0,0,0,0,No,No,0,0.5,10,0,0,no deal,,1.3,Monthly Only,2,0,0
2,Abcsports&Fitness,11,Sports,https://www.abcfitnessfirm.com/,,2,0,Middle,Pune,Maharashtra,,,No,,No,funded,No,2,1,Accepted,10,0,0,1,No,No,0,0.4,20,0.4,4,deal made,,,No Data,2,0,0
2,Primebook,11,Technology/Software,https://www.primebook.in/,,4,0,Middle,Delhi,Delhi,,,No,,No,funded,No,1.5,1,Accepted,3,0,0,2,No,No,0,0.75,50,0.75,25,deal made,,,No Data,4,0,0
2,Gharsoaps,12,Beauty/Fashion,https://www.gharsoaps.shop/,,2,0,Middle,Pune,Maharashtra,,,No,,No,funded,No,2,1,Accepted,4,0,0,1,No,No,0,0.6,30,0.6,15,deal made,,,No Data,2,0,0
2,Janitri,12,Medical/Health,https://www.janitri.in/,2021,1,0,Middle,Alwar,Rajasthan,,,No,,No,funded,No,2.5,1,Accepted,2.5,0,0,1,No,No,0,1,40,1,40,deal made,,,No Data,1,0,0
2,Insidefpv,13,Manufacturing,https://www.insidefpv.com/,,3,0,Young,Surat,Gujarat,,,No,,No,funded,No,4,1,Accepted,15,0,0,4,No,No,0,0.75,18.75,0.75,5,deal made,,,No Data,2,1,0
2,Angrakhaa,13,Beauty/Fashion,https://www.angrakhaa.com/,,2,0,Young,Delhi,Delhi,,,No,,No,funded,No,5,1,Accepted,20,0,0,1,No,No,0,0.4,8,0.4,2,deal made,,,No Data,0,2,0
2,Diabexy,13,Food,https://diabexy.com/,2016,2,1,Middle,Gurgaon,Haryana,,,No,,No,funded,No,1,1,Rejected,0,0,0,0,No,No,0,1.5,150,0,0,no deal,,1,Monthly Only,1,1,0
2,Kyari,14,Manufacturing,https://kyari.in/,2018,2,0,Young,Ghaziabad,Uttar Pradesh,,,No,,No,funded,No,1,1,Accepted,6,0,0,2,No,No,0,0.51,51,0.51,8.5,deal made,,0.1,Monthly Only,1,1,0
2,Moppfoods,14,Food,https://moppfoods.com/,,2,1,Middle,Delhi,Delhi,,,No,,No,funded,No,2.25,1,Accepted,5,0,0,1,No,No,0,0.75,33.33333333,0.75,15,deal made,,,No Data,1,1,0
2,Econiture,14,Furnishing/Household,https://www.econiture.com/,,4,0,Middle,Amaravati,Maharashtra,,,No,,No,funded,No,8,0,No Offer,0,0,0,0,No,No,0,0.5,6.25,0,0,no deal,,,No Data,4,0,0
2,Raasa,18,Food,,2022,1,0,Middle,Delhi,Delhi,,,No,,No,funded,No,5,1,Accepted,25,0,0,1,No,No,0,0.5,10,0.5,2,deal made,,,No Data,1,0,0
2,Bullspree,19,Technology/Software,https://bullspree.com/,,3,0,Middle,Ahmedabad,Gujarat,,,Yes,,No,funded,No,1.5,1,Accepted,2.86,0,0,2,No,No,0,0.75,50,0.75,26.22377622,deal made,,,No Data,3,0,0
2,Snitch,20,Beauty/Fashion,https://www.snitch.co.in/,2020,1,0,Middle,Bangalore,Karnataka,,,No,,No,funded,No,0.5,1,Accepted,1.5,0,0,5,No,No,0,1.5,300,1.5,100,deal made,,,No Data,1,0,0
2,Fattoslim,20,Beauty/Fashion,http://fattoslimbangalore.com/,,1,0,Middle,Bangalore,Karnataka,,,No,,No,funded,No,1,0,No Offer,0,0,0,0,No,No,0,0.2,20,0,0,no deal,,0.14,Monthly Only,0,1,0
2,Cheesecake&Co.,21,Food,https://cheesecakeco.in/,2018,2,1,Middle,Delhi,Delhi,,,No,,No,funded,No,2,1,Rejected,0,0,0,0,No,No,0,1,50,0,0,no deal,,1.94,Monthly Only,1,1,0
2,Cloudtailor,21,Services,https://www.cloudtailor.com/,,3,1,Middle,"Bangalore,Hyderabad","Karnataka,Telangana",,,Yes,,No,funded,No,1.4,0,No Offer,0,0,0,0,No,No,0,1,71.42857143,0,0,no deal,,0.34,Monthly Only,2,1,0
2,Broomees,22,Services,https://broomees.com/,,3,0,Middle,Delhi,Delhi,,,No,,No,funded,No,2,1,Accepted,3,0,0,3,No,No,0,0.8,40,1,33.33333333,deal made,,,No Data,2,1,0
2,Ravel,22,Beauty/Fashion,https://www.ravelcare.com/,2021,1,0,Middle,Amaravati,Maharashtra,,,No,,No,funded,No,2.5,1,Accepted,10,0,0,1,No,No,0,0.75,30,0.75,7.5,deal made,,0.4,Monthly Only,1,0,0
2,Padcare,23,Manufacturing,https://www.padcarelabs.com/,,1,0,Young,Pune,Maharashtra,,,Yes,,No,funded,No,2,1,Accepted,4,0,0,4,No,No,0,0.5,25,1,25,deal made,,0.14,Monthly Only,1,0,0
2,Oll,23,Technology/Software,https://www.oll.co/,,1,0,Young,Mumbai,Maharashtra,,,No,,No,funded,No,2,1,Accepted,5,0,0,2,No,No,0,0.3,15,0.3,6,deal made,,,No Data,1,0,0
2,Geeani,24,Vehicles/Electrical Vehicles,,,3,0,Middle,Ahmedabad,Gujarat,,,No,,No,funded,No,7.5,1,Accepted,10,0,0,3,No,No,0,0.75,10,1,10,deal made,,,No Data,2,1,0
2,Amore,24,Food,https://www.amoregelato.com/,,2,0,Middle,"Hyderabad,Mumbai","Telangana,Maharashtra",,,No,,No,funded,No,4,1,Accepted,7.5,0,0,1,yes,No,0,0.75,18.75,0.75,10,deal made,,,No Data,2,0,0
2,Thegreensnack,27,Food,https://thegreensnackco.com/,2017,2,1,Middle,Mumbai,Maharashtra,,,Yes,,No,funded,No,2,1,Accepted,8,0,0,1,No,No,0,1,50,1,12.5,deal made,,0.25,Monthly Only,1,1,0
2,Zoff,28,Food,https://zofffoods.com/,2018,2,0,Middle,Raipur,Chhattisgarh,,,No,,No,funded,No,0.5,1,Accepted,1.25,0,0,1,No,No,0,1,200,1,80,deal made,,7,Monthly Only,2,0,0
2,Cloudworx,28,Technology/Software,http://www.cloudworx.ai/,,1,0,Middle,Bangalore,Karnataka,,,No,,No,funded,No,2,1,Accepted,3.2,0,0,2,yes,No,0,0.4,20,0.4,12.5,deal made,,0.14,Monthly Only,1,0,0
2,Mahantam,29,Manufacturing,https://mahantam.co.in/,,2,0,Young,Banaskantha,Gujarat,,,No,,No,funded,No,10,1,Accepted,20,0,0,5,No,No,0,0.3,3,0.3,1.5,deal made,,,No Data,2,0,0
2,Mindpeers,29,Medical/Health,https://www.mindpeers.co/,,2,0,Middle,Delhi,Delhi,,,No,,No,funded,No,1,1,Accepted,2,0,0,4,No,No,0,0.53,53,1.06,53,deal made,,,No Data,1,1,0
2,Daryaganj,30,Food,https://daryaganj.com/,,3,0,Middle,Delhi,Delhi,,,No,,No,funded,No,0.5,1,Accepted,1,0,0,1,yes,No,0,0.9,180,0.9,90,deal made,,3,Monthly Only,3,0,0
2,Dhruvvidyut,30,Vehicles/Electrical Vehicles,https://www.instagram.com/dhruvvidyutdv/?hl=en,,1,0,Middle,Delhi,Delhi,,,No,,No,funded,No,0.5,1,Accepted,0.5,0,0,3,yes,No,0,0,0,0,0,deal made,,,No Data,1,0,0
2,Digiqure,31,Medical/Health,https://digiqure.com/,,2,0,Middle,Bhopal,Madhya Pradesh,,,No,,No,funded,No,4,1,Accepted,10,0,0,1,No,No,0,0.4,10,0.4,4,deal made,,,No Data,2,0,0
2,Nirmalaya,31,Manufacturing,https://nirmalaya.com/,,3,1,Middle,Delhi,Delhi,,,Yes,,No,funded,No,1.5,0,No Offer,0,0,0,0,No,No,0,0.6,40,0,0,no deal,,0.8,Monthly Only,2,1,0
2,Thehealthybinge,33,Food,https://www.healthybinge.co.in/,,2,0,Middle,Pune,Maharashtra,,,Yes,,No,funded,No,5,1,Accepted,5,0,0,2,No,No,0,0.5,10,0.5,10,deal made,,0.11,Monthly Only,2,0,0
2,Bowled.Io,35,Sports,https://www.bowled.io/,,2,0,Middle,Mumbai,Maharashtra,,,No,,No,funded,No,1,0,No Offer,0,0,0,0,No,No,0,0.8,80,0,0,no deal,,,No Data,2,0,0
2,Neuphony,36,Medical/Health,https://neuphony.com/,2022,2,1,Young,Noida,Uttar Pradesh,,,Yes,,No,funded,No,2,1,Accepted,5.4,0,0,2,No,No,0,1,50,1,18.51851852,deal made,,,No Data,1,1,0
